,0
1274,18672.390000000007
1275,18501.38500000001
1276,18242.38500000001
1277,18372.38500000001
1278,18555.38500000001
1279,19276.38500000001
1280,18954.390000000014
1281,19723.389000000014
1282,18874.392000000014
1283,18723.38900000001
1284,18781.38300000001
1285,18319.37700000001
1286,18766.38200000001
1287,19681.380000000012
1288,19228.382000000012
1289,18574.382000000012
1290,19043.380000000012
1291,19260.37200000001
1292,20327.377000000015
1293,20185.377000000015
1294,19917.381000000012
1295,20193.371000000014
1296,19895.363000000012
1297,19505.36200000001
1298,19542.363000000012
1299,19639.35600000001
1300,19728.35300000001
1301,19452.35600000001
1302,19490.35500000001
1303,18989.35800000001
1304,18734.35900000001
1305,18834.35900000001
1306,18626.352000000014
1307,18675.352000000014
1308,18715.35300000001
1309,19204.353000000014
1310,19207.350000000013
1311,19337.35400000001
1312,18429.348000000013
1313,18848.351000000013
1314,18691.35800000001
1315,18896.35900000001
1316,19439.365000000013
1317,19541.365000000013
1318,19655.37200000001
1319,19214.36900000001
1320,19162.371000000014
1321,18828.37400000001
1322,19884.37500000001
1323,20529.37800000001
1324,20419.37900000001
1325,20173.373000000014
1326,19693.385000000017
1327,19467.37900000001
1328,19063.379000000015
1329,19198.37400000001
1330,19075.372000000014
1331,18680.37900000001
1332,18409.379000000008
1333,18384.379000000008
1334,17792.396000000008
1335,17551.386000000006
1336,17246.375000000004
1337,17147.373000000007
1338,17552.373000000007
1339,17852.375000000007
1340,18271.37900000001
1341,18636.37400000001
1342,17543.38000000001
1343,17501.37600000001
1344,17490.386000000013
1345,17370.38300000001
1346,17828.379000000015
1347,17896.37600000001
1348,17764.37600000001
1349,18194.37000000001
1350,17824.37200000001
1351,17384.37100000001
1352,18396.37200000001
1353,18438.36800000001
1354,18371.36700000001
1355,18312.367000000006
1356,18082.36400000001
1357,17722.361000000008
1358,17975.35600000001
1359,16896.356000000007
1360,17009.358000000007
1361,16755.358000000007
1362,17051.34700000001
1363,17392.340000000007
1364,17047.343000000008
1365,16718.340000000007
1366,16109.340000000004
1367,15859.338000000005
1368,15706.333000000006
1369,16112.343000000006
1370,15256.348000000007
1371,16179.342000000008
1372,16094.335000000008
1373,15759.339000000005
1374,15938.342000000006
1375,16425.33000000001
1376,17111.325000000008
1377,17084.322000000007
1378,17070.318000000007
1379,17751.31600000001
1380,17289.320000000007
1381,17113.31700000001
1382,17583.31400000001
1383,17507.310000000012
1384,17328.305000000008
1385,17364.304000000004
1386,16771.30900000001
1387,16471.307000000004
1388,16990.298000000006
1389,16828.303000000007
1390,17027.304000000004
1391,16313.309000000005
1392,16375.301000000005
1393,15821.295000000004
1394,15342.300000000005
1395,15121.300000000005
1396,15123.295000000006
1397,15005.290000000006
1398,14483.289000000004
1399,14111.295000000004
1400,14121.289000000004
1401,14963.280000000002
1402,14828.283000000005
1403,15118.274000000003
1404,14888.272000000004
1405,15264.270000000004
1406,15720.277000000006
1407,15407.273000000007
1408,15865.273000000007
1409,15832.269000000006
1410,15842.265000000005
1411,15755.265000000005
1412,15004.274000000005
1413,15412.276000000007
1414,14759.278000000008
1415,14546.272000000008
1416,13986.272000000006
1417,13695.267000000007
1418,13687.272000000006
1419,13633.268000000005
1420,14067.266000000005
1421,13391.269000000004
1422,13628.262000000004
1423,12720.263000000004
1424,13090.259000000005
1425,12252.266000000005
1426,11981.266000000007
1427,12991.267000000003
1428,12176.268000000005
1429,12168.268000000004
1430,11715.273000000005
1431,11761.267000000005
1432,12363.263000000008
1433,12421.257000000005
1434,12596.263000000006
1435,12042.267000000005
1436,12295.274000000001
1437,11616.270000000006
1438,11166.271000000002
1439,11144.278000000006
